layer_index,tensor_index,best_c,val_auroc,val_auprc,val_accuracy,val_f1,test_auroc,test_auprc,test_accuracy,test_f1,test_precision,test_recall,test_mean_score_deceptive,test_mean_score_honest,test_score_separation
10,10,0.1,0.9980444444444445,0.9980678762132726,0.9733333333333334,0.9736842105263158,0.9979555555555556,0.9978186649068402,0.99,0.9900332225913622,0.9867549668874173,0.9933333333333333,0.9868679642677307,0.021884504705667496,0.9649834595620632
11,11,0.1,0.9984444444444445,0.9984788240583906,0.97,0.9700996677740864,0.9990222222222223,0.9989762259026731,0.99,0.9900332225913622,0.9867549668874173,0.9933333333333333,0.9914353489875793,0.02167581208050251,0.9697595369070768
12,12,0.1,0.9989777777777777,0.9990028468862493,0.9833333333333333,0.9833887043189369,0.9991555555555556,0.9991396104630922,0.9866666666666667,0.9867549668874173,0.9802631578947368,0.9933333333333333,0.9899765253067017,0.025952301919460297,0.9640242233872414
13,13,0.1,0.9993333333333333,0.9993533729338447,0.9866666666666667,0.9867549668874173,0.9991555555555556,0.9991449668122343,0.99,0.9900990099009901,0.9803921568627451,1.0,0.9925910234451294,0.023629244416952133,0.9689617790281773
14,14,10.0,0.9996444444444444,0.9996505181501649,0.9866666666666667,0.9867549668874173,0.9995555555555555,0.9995572550035764,0.99,0.9900990099009901,0.9803921568627451,1.0,0.9979867339134216,0.020036276429891586,0.97795045748353
15,15,10.0,0.9997777777777779,0.9997823953823954,0.99,0.9899665551839465,0.9994666666666667,0.9994573374210547,0.9866666666666667,0.9868421052631579,0.974025974025974,1.0,0.9991414546966553,0.02378489263355732,0.975356562063098
16,16,10.0,0.9995555555555556,0.9995627120818746,0.9833333333333333,0.9832775919732442,0.9992444444444445,0.9992337174480261,0.9866666666666667,0.9868421052631579,0.974025974025974,1.0,0.9961170554161072,0.025692014023661613,0.9704250413924456
17,17,0.1,0.9996,0.9996046056721555,0.9833333333333333,0.9832775919732442,0.9992000000000001,0.9991910044563967,0.9866666666666667,0.9868421052631579,0.974025974025974,1.0,0.9930422902107239,0.02543983794748783,0.967602452263236
18,18,0.01,0.9992888888888889,0.9993026609046498,0.98,0.9801324503311258,0.9990222222222223,0.9989776404600674,0.99,0.9900332225913622,0.9867549668874173,0.9933333333333333,0.9831833839416504,0.026505915448069572,0.9566774684935808
19,19,0.1,0.9996444444444444,0.9996470468910672,0.9866666666666667,0.9865771812080537,0.9997777777777778,0.9997792377516974,0.99,0.9900332225913622,0.9867549668874173,0.9933333333333333,0.9918766021728516,0.018550869077444077,0.9733257330954075
20,20,0.1,0.9992444444444445,0.9992438201862432,0.9866666666666667,0.9866666666666667,0.9997333333333334,0.9997350488269559,0.9866666666666667,0.9867549668874173,0.9802631578947368,0.9933333333333333,0.990371584892273,0.018808407709002495,0.9715631771832705
21,21,0.1,0.9992888888888889,0.9992975715003013,0.9866666666666667,0.9866666666666667,0.9996888888888888,0.9996957590628083,0.9866666666666667,0.9867549668874173,0.9802631578947368,0.9933333333333333,0.9897359013557434,0.02085254341363907,0.9688833579421043
22,22,10.0,0.9990222222222223,0.9990133506791645,0.99,0.9900332225913622,0.9998666666666667,0.9998692810457517,0.99,0.9900332225913622,0.9867549668874173,0.9933333333333333,0.9925868511199951,0.012783263809978962,0.9798035873100162
23,23,10.0,0.9982666666666666,0.9982981300184626,0.98,0.98,0.9993333333333333,0.9993864498644986,0.9866666666666667,0.9867549668874173,0.9802631578947368,0.9933333333333333,0.9929894804954529,0.02103721722960472,0.9719522632658482
24,24,10.0,0.9981333333333332,0.9981750238306277,0.9666666666666667,0.9662162162162162,0.9996,0.9996135729111747,0.99,0.9900332225913622,0.9867549668874173,0.9933333333333333,0.9920136332511902,0.015276567079126835,0.9767370661720634
25,25,10.0,0.9984,0.998441655265201,0.9666666666666667,0.9662162162162162,0.9994666666666666,0.999489598559377,0.99,0.9900332225913622,0.9867549668874173,0.9933333333333333,0.9903629422187805,0.01642104797065258,0.9739418942481279
26,26,10.0,0.9982666666666666,0.9983233675715183,0.9766666666666667,0.9765886287625418,0.9995999999999999,0.9996093575247939,0.9866666666666667,0.9867549668874173,0.9802631578947368,0.9933333333333333,0.9928751587867737,0.018400726839900017,0.9744744319468737
27,27,10.0,0.9987555555555555,0.998784885117494,0.97,0.9694915254237289,0.9996444444444444,0.9996487518317378,0.99,0.9899665551839465,0.9932885906040269,0.9866666666666667,0.9882313013076782,0.012495027855038643,0.9757362734526396
