layer_index,tensor_index,best_c,val_auroc,val_auprc,val_accuracy,val_f1,test_auroc,test_auprc,test_accuracy,test_f1,test_precision,test_recall,test_mean_score_deceptive,test_mean_score_honest,test_score_separation
15,15,0.1,0.9912109375,0.9924063986248965,0.9375,0.9354838709677419,0.9775390625,0.9783563961926662,0.921875,0.9206349206349206,0.9354838709677419,0.90625,0.8898531198501587,0.09000904858112335,0.7998440712690353
16,16,1.0,0.9931640625,0.9940892269736842,0.96875,0.967741935483871,0.98046875,0.98147597975406,0.921875,0.9206349206349206,0.9354838709677419,0.90625,0.9034754037857056,0.0826965868473053,0.8207788169384003
17,17,0.1,0.9912109375,0.9921637855636157,0.953125,0.9523809523809523,0.9755859375,0.9767938482690985,0.921875,0.9206349206349206,0.9354838709677419,0.90625,0.8857110738754272,0.08964899927377701,0.7960620746016502
18,18,10.0,0.994140625,0.9945431507616488,0.9375,0.9354838709677419,0.97265625,0.9741563836540797,0.921875,0.9206349206349206,0.9354838709677419,0.90625,0.8932839035987854,0.07147876918315887,0.8218051344156265
19,19,1.0,0.990234375,0.9912187250797447,0.9375,0.9354838709677419,0.9736328125,0.974991945151406,0.921875,0.9206349206349206,0.9354838709677419,0.90625,0.8812566995620728,0.07914194464683533,0.8021147549152374
20,20,1.0,0.9853515625,0.9865868324606946,0.921875,0.9180327868852459,0.97265625,0.9743509195103803,0.90625,0.9032258064516129,0.9333333333333333,0.875,0.8605000376701355,0.07726483792066574,0.7832351997494698
21,21,1.0,0.984375,0.9857653497314341,0.921875,0.9180327868852459,0.9736328125,0.97478486969762,0.90625,0.9032258064516129,0.9333333333333333,0.875,0.8413981199264526,0.07380610704421997,0.7675920128822327
22,22,1.0,0.9853515625,0.9860445543159793,0.9375,0.9354838709677419,0.97265625,0.9740575799078302,0.921875,0.9206349206349206,0.9354838709677419,0.90625,0.862052321434021,0.09303424507379532,0.7690180763602257
23,23,1.0,0.984375,0.9856986374404572,0.921875,0.9180327868852459,0.9736328125,0.97478486969762,0.90625,0.9032258064516129,0.9333333333333333,0.875,0.868777871131897,0.10206705331802368,0.7667108178138733
24,24,10.0,0.986328125,0.9873086369449516,0.921875,0.9180327868852459,0.9736328125,0.9745460750625365,0.90625,0.90625,0.90625,0.90625,0.8861752152442932,0.09754835814237595,0.7886268571019173
25,25,1.0,0.982421875,0.9841161235331841,0.90625,0.9032258064516129,0.978515625,0.9789647510978962,0.90625,0.9032258064516129,0.9333333333333333,0.875,0.8767646551132202,0.0841929018497467,0.7925717532634735
26,26,1.0,0.98046875,0.9824752752756525,0.90625,0.9032258064516129,0.9755859375,0.9766550047708801,0.90625,0.9032258064516129,0.9333333333333333,0.875,0.8680725693702698,0.08357805758714676,0.784494511783123
27,27,0.1,0.9775390625,0.980162887272475,0.921875,0.9180327868852459,0.9794921875,0.9802142348926102,0.90625,0.9032258064516129,0.9333333333333333,0.875,0.8576622009277344,0.09049130976200104,0.7671708911657333
